code,field,university,avg_pref_success,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
262,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,4.0,14492.0,15025.0,15518.0,15640.0,16260.0,15830.0,15940.0,15860.0
263,2/3,ΕΚΠΑ,4.0,17332.0,16400.0,17394.0,17420.0,17505.0,17180.0,17275.0,17750.0
265,2/3,ΑΠΘ,5.0,16871.0,15625.0,16837.0,16770.0,16825.0,16665.0,16590.0,17215.0
267,2/3,ΠΑΝ. ΠΑΤΡΩΝ,5.0,16616.0,15225.0,16525.0,16540.0,16480.0,16420.0,16240.0,16740.0
269,2/3,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,5.0,16353.0,14775.0,16200.0,16020.0,15975.0,15720.0,15570.0,16435.0
270,2/3,ΠΑΝ. ΚΡΗΤΗΣ,5.0,16277.0,14625.0,16106.0,15874.0,15690.0,15382.0,15278.0,16083.0
272,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,9693.0,9300.0,9630.0,10475.0,11375.0,11400.0,11950.0,12650.0
273,2/3,ΑΠΘ,5.0,14644.0,13125.0,14188.0,14220.0,13870.0,14290.0,14380.0,13180.0
274,2/3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,4.0,11950.0,10275.0,10611.0,10920.0,9810.0,10970.0,11010.0,11400.0
275,2/3,ΑΠΘ,5.0,10870.0,8775.0,12072.0,11810.0,10730.0,11670.0,11340.0,10460.0
276,2/3/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,7353.0,4300.0,9997.0,8730.0,8270.0,8650.0,8550.0,8440.0
277,2/3,ΕΚΠΑ,4.0,17688.0,16750.0,17663.0,17552.0,17703.0,17493.0,17428.0,17695.0
279,2/3,ΑΠΘ,5.0,17446.0,16500.0,17443.0,17402.0,17439.0,17322.0,17190.0,17551.0
280,2/3,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,5.0,16620.0,15175.0,16650.0,16530.0,16265.0,16270.0,16260.0,16625.0
281,2/3,ΠΑΝ. ΠΑΤΡΩΝ,6.0,17174.0,16100.0,17218.0,17042.0,17050.0,16766.0,16746.0,17138.0
282,2/3,ΠΑΝ. ΚΡΗΤΗΣ,5.0,17105.0,15900.0,17124.0,16768.0,16678.0,16465.0,16430.0,16908.0
283,2,ΕΚΠΑ,4.0,10623.0,9475.0,10904.0,11300.0,11375.0,10875.0,11100.0,11100.0
284,2/3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,16697.0,15350.0,16617.0,16430.0,16050.0,16080.0,16030.0,16380.0
285,2,ΑΠΘ,4.0,9785.0,9025.0,9516.0,9850.0,9875.0,9825.0,9825.0,10500.0
287,2,ΠΑΝ. ΠΑΤΡΩΝ,5.0,7108.0,5950.0,10327.0,9670.0,9670.0,9020.0,9280.0,10500.0
288,2/3,ΠΑΝ. ΠΑΤΡΩΝ,5.0,7353.0,6150.0,9259.0,9479.0,9615.0,10027.0,11093.0,12020.0
289,3,ΕΚΠΑ,5.0,17848.0,17025.0,17899.0,17910.0,18090.0,17880.0,17880.0,18100.0
290,2/3,ΔΠΘ,6.0,17009.0,15750.0,17043.0,16850.0,16715.0,16570.0,16595.0,16895.0
291,3,ΑΠΘ,5.0,17793.0,16975.0,17881.0,17775.0,17925.0,17625.0,17625.0,18075.0
293,3,ΠΑΝ. ΠΑΤΡΩΝ,6.0,17593.0,16725.0,17722.0,17710.0,17830.0,17670.0,17620.0,17920.0
294,3,ΧΑΡΟΚΟΠΕΙΟ,5.0,16980.0,15700.0,16958.0,16820.0,16782.0,16344.0,16344.0,16592.0
295,3,ΕΚΠΑ,1.0,18724.0,18250.0,18826.0,18800.0,19000.0,18775.0,18775.0,18900.0
297,3,ΑΠΘ,1.0,18585.0,18075.0,18654.0,18550.0,18800.0,18550.0,18575.0,18750.0
299,3,ΠΑΝ. ΠΑΤΡΩΝ,2.0,18398.0,17825.0,18421.0,18505.0,18735.0,18460.0,18445.0,18745.0
300,3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,18249.0,17600.0,18300.0,18200.0,18450.0,18125.0,18100.0,18475.0
301,3,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,2.0,18265.0,17625.0,18341.0,18275.0,18475.0,18200.0,18200.0,18525.0
302,3,ΔΠΘ,4.0,18123.0,17400.0,18159.0,18075.0,18300.0,17975.0,17975.0,18350.0
303,3,ΕΚΠΑ,4.0,18026.0,17275.0,18058.0,17975.0,18125.0,17850.0,17900.0,18250.0
304,3,ΠΑΝ. ΚΡΗΤΗΣ,3.0,18194.0,17525.0,18231.0,18150.0,18400.0,18050.0,18050.0,18425.0
305,3,ΑΠΘ,5.0,18002.0,17175.0,18035.0,18060.0,18200.0,17965.0,17995.0,18310.0
306,3,ΕΚΠΑ,6.0,16075.0,14175.0,15553.0,15225.0,14875.0,14375.0,14400.0,14800.0
307,3,ΑΠΘ,4.0,17764.0,16875.0,17672.0,17671.0,17812.0,17692.0,17657.0,17867.0
308,3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,6.0,17407.0,16425.0,17396.0,17350.0,17375.0,17175.0,17125.0,17575.0
309,4,ΕΚΠΑ,4.0,13087.0,13675.0,13617.0,13428.0,13818.0,13574.0,13896.0,13832.0
310,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,5450.0,3950.0,7686.0,7820.0,7630.0,7870.0,7740.0,7690.0
311,4,ΑΠΘ,3.0,12987.0,13450.0,13408.0,12880.0,13020.0,13090.0,13240.0,13290.0
312,4,ΟΠΑ,2.0,15725.0,15800.0,15888.0,15750.0,16250.0,15700.0,15900.0,16025.0
313,4,ΟΠΑ,2.0,16087.0,16400.0,17146.0,16975.0,17400.0,17025.0,17425.0,17425.0
314,4,ΟΠΑ,2.0,14458.0,15000.0,15617.0,15675.0,16200.0,15975.0,16350.0,16225.0
315,4,ΠΑΝ. ΠΕΙΡΑΙΑ,3.0,13843.0,14275.0,14290.0,14480.0,14920.0,14660.0,15100.0,14990.0
316,4,ΠΑΝ. ΠΕΙΡΑΙΑ,3.0,14186.0,14900.0,15163.0,15840.0,16390.0,16180.0,16620.0,16360.0
317,4,ΠΑΝ. ΜΑΚΕΔ.,2.0,14146.0,14425.0,14276.0,13740.0,14040.0,14210.0,14460.0,14620.0
318,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,5.0,11710.0,12100.0,11673.0,12460.0,12615.0,12755.0,13070.0,13425.0
319,4,ΠΑΝ. ΠΑΤΡΩΝ,3.0,11270.0,12200.0,11735.0,12440.0,12378.0,12290.0,12426.0,12030.0
320,4,ΠΑΝ. ΑΙΓΑΙΟΥ,4.0,5305.0,5600.0,7495.0,8190.0,7925.0,7830.0,8630.0,8605.0
321,4,ΠΑΝ. ΚΡΗΤΗΣ,3.0,8910.0,10150.0,10384.0,11040.0,10885.0,10925.0,10415.0,10530.0
322,4,ΠΑΝ. ΜΑΚΕΔ.,2.0,13558.0,14100.0,14417.0,14279.0,15097.0,15375.0,15532.0,15670.0
323,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,4.0,14119.0,12125.0,12560.0,12655.0,11240.0,12120.0,14720.0,10490.0
324,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,12619.0,10225.0,11804.0,12050.0,11520.0,11980.0,11950.0,11980.0
325,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,16588.0,15125.0,16406.0,16250.0,16195.0,15945.0,15870.0,16285.0
326,3/4,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,4.0,11370.0,11100.0,12311.0,12160.0,11990.0,12290.0,12310.0,12120.0
327,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,11810.0,10100.0,11860.0,11240.0,11325.0,11120.0,11315.0,11770.0
328,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,15787.0,14350.0,15296.0,15185.0,14950.0,14720.0,14520.0,14215.0
329,2/4,ΟΠΑ,3.0,13337.0,13425.0,13316.0,13828.0,14268.0,13982.0,14440.0,14940.0
330,2/4,ΕΚΠΑ,2.0,17015.0,16925.0,17537.0,17385.0,17785.0,17075.0,16955.0,17015.0
331,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,14880.0,14625.0,15472.0,14077.0,14785.0,14492.0,14648.0,15770.0
332,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,16120.0,16025.0,16784.0,16410.0,16720.0,16230.0,16580.0,17770.0
333,2/4,ΟΠΑ,2.0,16433.0,16550.0,17245.0,17150.0,17670.0,17220.0,17590.0,17680.0
334,1/2/3/4,ΠΑΝ. ΔΥΤ. ΜΑΚ.,4.0,12647.0,12075.0,12636.0,12270.0,13020.0,12980.0,12860.0,12430.0
336,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,5.0,12695.0,13175.0,13100.0,12825.0,13240.0,13460.0,13465.0,13880.0
337,4,ΠΑΝ. ΜΑΚΕΔ.,2.0,14917.0,14725.0,14500.0,14025.0,14275.0,13775.0,13525.0,13800.0
338,2/4,ΑΠΘ,1.0,16653.0,16800.0,17339.0,17090.0,17730.0,17440.0,17720.0,17740.0
339,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,2.0,15998.0,16150.0,16799.0,16605.0,17220.0,16740.0,16935.0,16870.0
340,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,12386.0,12425.0,12620.0,14243.0,14762.0,14761.0,13355.0,14368.0
341,1/2/3/4,ΠΑΝ. ΔΥΤ. ΜΑΚ.,5.0,11408.0,10200.0,10719.0,10450.0,11150.0,11200.0,10975.0,10675.0
