code,field,university,avg_pref_success,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
337,4,ΠΑΝ. ΜΑΚΕΔ.,2.0,-192.0,-225.0,-475.0,250.0,-500.0,-250.0,275.0
338,2/4,ΑΠΘ,1.0,147.0,539.0,-249.0,640.0,-290.0,280.0,20.0
339,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,2.0,152.0,649.0,-194.0,615.0,-480.0,195.0,-65.0
340,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,39.0,195.0,1623.0,519.0,-1.0,-1406.0,1013.0
341,1/2/3/4,ΠΑΝ. ΔΥΤ. ΜΑΚ.,5.0,-1208.0,519.0,-269.0,700.0,50.0,-225.0,-300.0
342,1/4,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,6.0,-1854.0,1148.0,687.0,440.0,-510.0,-665.0,-200.0
344,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,4.0,-3010.0,6053.0,102.0,680.0,-185.0,-140.0,1410.0
345,4,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,3.0,902.0,-530.0,455.0,-375.0,-100.0,75.0,-225.0
347,4,ΟΠΑ,2.0,-46.0,184.0,-814.0,505.0,-860.0,435.0,150.0
348,1,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,-2062.0,-260.0,75.0,240.0,-340.0,-280.0,280.0
350,4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,922.0,-630.0,191.0,61.0,-452.0,56.0,-49.0
351,1,ΠΑΝ. ΚΡΗΤΗΣ,5.0,-686.0,-829.0,-471.0,350.0,-175.0,50.0,-325.0
352,4,ΠΑΝ. ΠΑΤΡΩΝ,3.0,1327.0,-207.0,482.0,75.0,125.0,275.0,-260.0
353,2/3/4,ΔΠΘ,5.0,-3472.0,5665.0,35.0,-875.0,400.0,75.0,-150.0
354,1/4,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,-1798.0,1426.0,124.0,285.0,-145.0,-435.0,-385.0
355,1/4,ΠΑΝ. ΠΕΙΡΑΙΑ,2.0,-18.0,-456.0,-729.0,600.0,-765.0,2195.0,-40.0
356,2/4,ΧΑΡΟΚΟΠΕΙΟ,4.0,728.0,932.0,468.0,0.0,650.0,-700.0,525.0
357,1,ΑΠΘ,3.0,219.0,-590.0,-1430.0,830.0,-290.0,90.0,320.0
360,2/3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,6.0,-2257.0,4170.0,-1195.0,-200.0,275.0,0.0,300.0
361,4,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,1609.0,316.0,279.0,-300.0,200.0,360.0,295.0
