code,field,university,avg_pref_success,base_2013,base_2014,base_2015,base_2016,base_2017,base_2018,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
862,2/3/4,ΣΜΥ,4.0,14804.0,15674.0,14817.0,14532.0,14562.0,14541.0,14073.0,13325.0,12197.0,11610.0,10890.0,10290.0,9170.0,8820.0
863,2/4,ΣΜΥ,4.0,15655.0,16455.0,15576.0,15678.0,15345.0,15450.0,15086.0,15825.0,16186.0,15220.0,15830.0,14890.0,13080.0,11120.0
864,2/4,ΣΜΥΝ,4.0,15150.0,16054.0,15426.0,14790.0,14802.0,14956.0,14557.0,14600.0,15254.0,13700.0,13700.0,11080.0,8940.0,8900.0
866,1,ΣΣΑΣ,1.0,19052.0,18908.0,18721.0,19146.0,18785.0,18881.0,18735.0,18325.0,18730.0,17940.0,18600.0,17930.0,18040.0,18080.0
867,4,ΣΣΑΣ,1.0,18828.0,19187.0,18983.0,18326.0,17568.0,18215.0,18586.0,18350.0,18452.0,17990.0,18405.0,17875.0,17735.0,17875.0
869,1/2/4,ΑΣΤ. ΣΧΟΛΕΣ,1.0,16909.0,18319.0,18206.0,17896.0,18113.0,18123.0,18241.0,17625.0,18246.0,17760.0,18070.0,17500.0,17590.0,17690.0
870,1/2/4,ΑΣΤ. ΣΧΟΛΕΣ,3.0,14176.0,15910.0,16169.0,16388.0,16301.0,16695.0,16550.0,13625.0,16385.0,14830.0,14810.0,13180.0,11710.0,11470.0
871,1/2/4,Σ.Π.Α.,1.0,7476.0,7514.0,10314.0,14852.0,13472.0,13613.0,18315.0,16025.0,18199.0,17860.0,15850.0,14750.0,9940.0,17510.0
872,1/2/4,ΑΣΤ. ΣΧΟΛΕΣ,1.0,15302.0,16721.0,16881.0,16650.0,16134.0,17518.0,18097.0,17425.0,18378.0,17240.0,17720.0,17240.0,17370.0,17540.0
875,1,ΣΣΑΣ,1.0,19351.0,19121.0,19223.0,19043.0,19063.0,18844.0,19097.0,18400.0,19039.0,18395.0,18905.0,18295.0,18155.0,18650.0
